method,step,value
catp_llm_train_loss,98.0,1.210512
catp_llm_train_loss,99.0,1.091757
catp_llm_train_loss,100.0,1.176041
catp_llm_train_loss,101.0,1.176677
catp_llm_train_loss,102.0,1.230097
catp_llm_train_loss,103.0,1.251124
catp_llm_train_loss,104.0,1.34445
catp_llm_train_loss,105.0,1.376513
catp_llm_train_loss,106.0,1.400503
catp_llm_train_loss,107.0,1.347007
catp_llm_train_loss,108.0,1.332797
catp_llm_train_loss,109.0,1.269031
catp_llm_train_loss,110.0,1.154676
catp_llm_train_loss,111.0,1.137903
catp_llm_train_loss,112.0,1.228343
catp_llm_train_loss,113.0,1.232534
catp_llm_train_loss,114.0,1.259487
catp_llm_train_loss,115.0,1.24099
catp_llm_train_loss,116.0,1.243436
catp_llm_train_loss,117.0,1.292392
catp_llm_train_loss,118.0,1.133578
catp_llm_train_loss,119.0,1.105848
catp_llm_train_loss,120.0,1.126912
catp_llm_train_loss,121.0,1.175334
catp_llm_train_loss,122.0,1.14695
catp_llm_train_loss,123.0,1.309452
catp_llm_train_loss,124.0,1.336945
catp_llm_train_loss,125.0,1.146339
catp_llm_train_loss,126.0,1.137174
catp_llm_train_loss,127.0,1.156657
catp_llm_train_loss,128.0,1.113977
catp_llm_train_loss,129.0,1.100416
catp_llm_train_loss,130.0,1.13368
catp_llm_train_loss,131.0,1.075653
catp_llm_train_loss,132.0,1.187746
catp_llm_train_loss,133.0,1.178082
catp_llm_train_loss,134.0,1.204252
catp_llm_train_loss,135.0,1.247079
catp_llm_train_loss,136.0,1.27456
catp_llm_train_loss,137.0,1.222559
catp_llm_train_loss,138.0,1.161859
catp_llm_train_loss,139.0,1.095951
catp_llm_train_loss,140.0,4.428914
catp_llm_train_loss,141.0,1.086257
catp_llm_train_loss,142.0,1.059502
catp_llm_train_loss,143.0,1.046756
catp_llm_train_loss,144.0,1.060808
catp_llm_train_loss,145.0,1.020312
catp_llm_train_loss,146.0,1.091553
catp_llm_train_loss,147.0,1.084269
catp_llm_train_loss,148.0,1.052394
catp_llm_train_loss,149.0,1.038077
catp_llm_train_loss,150.0,1.062484
catp_llm_train_loss,151.0,1.048745
catp_llm_train_loss,152.0,1.003935
catp_llm_train_loss,153.0,1.058389
catp_llm_train_loss,154.0,1.017235
catp_llm_train_loss,155.0,0.935073
