policy,w_latency,seed,expected_reward,normalized_score,success_prob,latency_s,timeout_prob
latency_greedy,0.6,3,-0.14546639724842833,0.5847125888488567,0.5055426931251031,0.7917315896249929,0.17597013659853578
quality_greedy,0.6,3,-0.31211947906366094,-0.9417086771822228,0.839361366641743,1.796080704297156,0.07383242312711051
reliability_greedy,0.6,3,-0.20442479283710996,0.044696479591339364,0.8245492252088521,1.6752822561105427,0.023804664379636523
oracle,0.6,3,-0.10012575083083677,1.0,0.6077821351860168,0.9744472078763924,0.12323956129101823
grpo_rl,0.6,3,-0.10012575083083677,1.0,0.6077821351860168,0.9744472078763924,0.12323956129101823
random,0.6,4,-0.27676843627604053,0.0,0.6051247058042809,1.2832879031215205,0.11192040020740918
latency_greedy,0.6,4,-0.24181033196898946,0.3821815604273734,0.4702189241854928,0.8952756326031169,0.1748638765926121
quality_greedy,0.6,4,-0.21510572280122547,0.6741312929613719,0.7997027648441591,1.5413436413821435,0.09000230281609858
reliability_greedy,0.6,4,-0.3156901830697439,-0.42551431832578906,0.6417975305722976,1.5048809474530056,0.05455914517023809
oracle,0.6,4,-0.18529854885405378,1.0,0.6420929569075168,1.1102836684742197,0.16122130467703874
grpo_rl,0.6,4,-0.18867561986817963,0.9630799697112769,0.6414411594594791,1.1122637527914803,0.16275852765277046
random,0.6,5,-0.2754825483732794,0.0,0.6843655016864029,1.4688408853426331,0.07854351885410245
latency_greedy,0.6,5,-0.28256213529968466,-0.08510946827698102,0.5066207469431785,1.1108803597081112,0.12265466641799652
quality_greedy,0.6,5,-0.19247639378787396,0.9978844463553872,0.809254064890463,1.5744826261833977,0.057040882968298345
reliability_greedy,0.6,5,-0.22675349515970172,0.5858115525327904,0.7843444870431935,1.642772549721364,0.025434452370076736
oracle,0.6,5,-0.19230041752779714,1.0,0.8085027790858931,1.5722524267927933,0.05745174053801448
grpo_rl,0.6,5,-0.2087852146438014,0.8018228560816008,0.6641033518635526,1.2654397802273947,0.11362469837091727
random,0.7,1,-0.4025944395612948,0.0,0.594412120282597,1.2744869698788976,0.10486568092866361
latency_greedy,0.7,1,-0.3679095831899629,0.45639962879321416,0.4487494404535776,0.9619313496143533,0.14330707891349326
quality_greedy,0.7,1,-0.33881181437805985,0.8392817356783339,0.7339368143443794,1.4147305759814748,0.08243722553540692
reliability_greedy,0.7,1,-0.4099175121851455,-0.09636042863690995,0.69057768551682,1.482919995015646,0.06245120119101329
oracle,0.7,1,-0.3265977599341803,1.0,0.6888289379791878,1.3464263135668815,0.07292827841655103
grpo_rl,0.7,1,-0.33081870466859253,0.9444588269497727,0.6877159743097714,1.309638450667292,0.10178776351125954
random,0.7,2,-0.4240875529530701,0.0,0.5913884195984218,1.2685367128810068,0.12750027353478732
latency_greedy,0.7,2,-0.3330535764181194,0.5610965476153968,0.536293951115179,0.9645489001864738,0.1941632974027668
quality_greedy,0.7,2,-0.44265333943606977,-0.11443198568148052,0.7408651806299836,1.6013040191565664,0.06260570665645689
reliability_greedy,0.7,2,-0.49555671506549215,-0.44050695848542987,0.7124207491559243,1.6539001381517142,0.050247367515216315
oracle,0.7,2,-0.2618445719156072,1.0,0.6279772816139282,1.0441900559793702,0.15888881434397628
grpo_rl,0.7,2,-0.26633188035356187,0.9723420488870425,0.6169698507086729,1.023842819514741,0.16661175740191603
random,0.7,3,-0.34525187883946096,0.0,0.7041555621015494,1.359471709776106,0.0977772440977362
latency_greedy,0.7,3,-0.2246395562109276,0.8167062116902336,0.5055426931251031,0.7917315896249929,0.17597013659853578
quality_greedy,0.7,3,-0.4917275494933765,-0.991835556081442,0.839361366641743,1.796080704297156,0.07383242312711051
reliability_greedy,0.7,3,-0.37195301844816425,-0.18080231026474916,0.8245492252088521,1.6752822561105427,0.023804664379636523
oracle,0.7,3,-0.19757047161847596,1.0,0.6077821351860168,0.9744472078763924,0.12323956129101823
grpo_rl,0.7,3,-0.200725229477818,0.9786380837052738,0.6144125466654835,0.9934899018228884,0.11969484486727971
random,0.7,4,-0.4050972265881926,0.0,0.6051247058042809,1.2832879031215205,0.11192040020740918
latency_greedy,0.7,4,-0.3313378952293011,0.6752453907617316,0.4702189241854928,0.8952756326031169,0.1748638765926121
quality_greedy,0.7,4,-0.3692400869394398,0.3282617646831652,0.7997027648441591,1.5413436413821435,0.09000230281609858
reliability_greedy,0.7,4,-0.4661782778150443,-0.5591793952568268,0.6417975305722976,1.5048809474530056,0.05455914517023809
oracle,0.7,4,-0.29586385399799253,1.0,0.6353729302737992,1.0958223368371005,0.16416114848582128
grpo_rl,0.7,4,-0.295997208007373,0.9987791825316905,0.6402459109024176,1.1060456652464428,0.1620111532372808
random,0.7,5,-0.4223666369075426,0.0,0.6843655016864029,1.4688408853426331,0.07854351885410245
